DATE,"(NETCONS.)","MAXI.DEMANDMETDURINGTHE DAY","TIME OFOCCUR-RENCE OFMAXDEMAND","SHEDDINGAT THISTIME","UN-REST-RICTEDDEMAND","MAXIMUMUN-REST-RICTEDDEMANDDURINGTHE DAY","TIME OFMAX.UN-REST.DEMAND","DEMANDAT THATTIME","SHEDDINGAT THATTIME"
6/29/2021,133.064,6592,15:30:38,0,6592,3995,15:30:38,6592,0
6/30/2021,137.195,6921,15:10:25,0,6921,4008,15:10:25,6921,0
7/1/2021,142.55,7026,15:30:08,0,7026,7026,15:30:08,7026,0
7/2/2021,139.258,7323,15:16:47,0,7323,7323,15:16:47,7323,0
7/3/2021,120.088,6169,15:44:48,0,6169,6169,15:44:48,6169,0
7/4/2021,114.544,6024,23:24:56,0,6024,6024,23:24:56,6024,0
7/5/2021,128.174,6519,15:25,0,6519,6519,15:25,6519,0
7/6/2021,134.997,6807,15:33:49,0,6807,6807,15:33:49,6807,0
7/7/2021,141.574,7107,15:30:06,0,7107,7107,15:30:06,7107,0
7/8/2021,144.505,7261,15:10:53,0,7261,7261,15:10:53,7261,0
7/9/2021,135.004,6889,15:30:29,0,6889,6889,15:30:29,6889,0
7/10/2021,135.475,6671,23:25:39,15.9,6687,6687,23:25:39,6671,15.9
7/11/2021,130.67,6568,0:00:50,0,6568,6568,0:00:50,6568,0
7/12/2021,132.497,6512,15:43:31,0,6512,6512,15:43:31,6512,0
7/13/2021,118.62,6097,0:00:23,0,6097,6097,0:00:23,6097,0
7/14/2021,108.619,5382,11:07:09,0,5382,5382,11:07:09,5382,0
7/15/2021,112.258,5690,16:00:50,0,5690,5690,16:00:50,5690,0
7/16/2021,126.312,6349,23:02:31,0,6349,6349,23:02:31,6349,0
7/17/2021,129.366,6363,15:31:42,0,6363,6363,15:31:42,6363,0
7/18/2021,120.926,6047,0:00,0,6047,6047,0:00,6047,0
7/19/2021,101.933,5397,0:01:53,0,5397,5397,0:01:53,5397,0
7/20/2021,99.047,5032,15:00:33,11.3,5043,5043,15:00:33,5032,11.3
7/21/2021,99.142,5296,22:49:41,0,5296,5296,22:49:41,5296,0
7/22/2021,110.704,5361,15:15:39,0,5361,5361,15:15:39,5361,0
7/23/2021,112.325,5583,23:10:13,0,5583,5583,23:10:13,5583,0
7/24/2021,116.233,5699,23:09:48,0,5699,5699,23:09:48,5699,0
7/25/2021,116.771,6051,23:00:53,0,6051,6051,23:00:53,6051,0
7/26/2021,125.184,5870,15:03:15,0,5870,5870,15:03:15,5870,0
7/27/2021,114.523,5607,0:00:50,0,5607,5607,0:00:50,5607,0
7/28/2021,103.384,4907,0:00:02,0,4907,4907,0:00:02,4907,0
7/29/2021,101.147,5020,15:16:58,0,5020,3995,15:16:58,5020,0
7/30/2021,102.291,4934,14:56:33,0,4934,4008,14:56:33,4934,0
7/31/2021,101.595,4945,22:59:59,0,4945,4008,22:59:59,4945,0
8/1/2021,96.724,4825,0:02:29,0,4825,4825,0:02:29,4825,0
8/2/2021,105.649,4906,15:01,12.5,4919,4919,15:01,4906,12.5
8/3/2021,105.48,5151,15:35:25,0,5151,5151,15:35:25,5151,0
8/4/2021,109.67,5232,23:30,0,5232,5232,23:30,5232,0
8/5/2021,115.143,5459,23:07:41,0,5459,5459,23:07:41,5459,0
8/6/2021,121.912,5766,15:30:48,0,5766,5766,15:30:48,5766,0
8/7/2021,113.242,5531,0:01:21,0,5531,5531,0:01:21,5531,0
8/8/2021,100.174,5087,0:00:08,0,5087,5087,0:00:08,5087,0
8/9/2021,106.324,5183,15:31:10,0,5183,5183,15:31:10,5183,0
8/10/2021,112.721,5575,22:50:02,0,5575,5575,22:50:02,5575,0
8/11/2021,119.604,5758,23:08:52,0,5758,5758,23:08:52,5758,0
8/12/2021,120.237,5961,23:00:51,0,5961,5961,23:00:51,5961,0
8/13/2021,123.214,6039,23:17:07,0,6039,6039,23:17:07,6039,0
8/14/2021,117.395,5953,23:06:40,0,5953,5953,23:06:40,5953,0
8/15/2021,107.356,5846,23:05:38,0,5846,5846,23:05:38,5846,0
8/16/2021,124.833,6369,23:01:28,0,6369,6369,23:01:28,6369,0
8/17/2021,132.612,6550,23:00:50,0,6550,6550,23:00:50,6550,0
8/18/2021,135.451,6511,23:04:58,0,6511,6511,23:04:58,6511,0
8/19/2021,137.425,6408,15:38:48,0,6408,6408,15:38:48,6408,0
8/20/2021,115.797,6096,0:00:39,0,6096,6096,0:00:39,6096,0
8/21/2021,103.099,4827,15:00,0,4827,4827,15:00,4827,0
8/22/2021,94.758,4880,23:04:19,0,4880,4880,23:04:19,4880,0
8/23/2021,112.132,5539,23:00:49,3.4,5542,5542,23:00:49,5539,3.4
8/24/2021,120.402,5814,23:03:50,0,5814,5814,23:03:50,5814,0
8/25/2021,119.693,5828,15:15:28,0,5828,5828,15:15:28,5828,0
8/26/2021,118.45,5599,15:03:28,0,5599,5599,15:03:28,5599,0
8/27/2021,119.799,5762,23:00:53,0,5762,5762,23:00:53,5762,0
8/28/2021,114.212,5609,0:00:22,0,5609,5609,0:00:22,5609,0
8/29/2021,110.724,5341,0:00:15,0,5341,3995,0:00:15,5341,0
8/30/2021,104.145,5129,0:00,0,5129,4008,0:00,5129,0
8/31/2021,106.154,4947,0:50:07,0,4947,4008,0:50:07,4947,0
01.09.21,92.398,4312,0:00:40,0,4312,4312,0:00:40,4312,0
02.09.21,95.267,4724,15:50:20,0,4724,4724,15:50:20,4724,0
03.09.21,102.411,5204,16:18:22,0,5204,5204,16:18:22,5204,0
04.09.21,100.153,4592,12:44:41,0,4592,4592,12:44:41,4592,0
05.09.21,96.458,4836,22:59:40,0,4836,4836,22:59:40,4836,0
06.09.21,112.272,5528,22:53:58,0,5528,5528,22:53:58,5528,0
07.09.21,114.355,5548,15:37:55,0,5548,5548,15:37:55,5548,0
08.09.21,109.547,5257,15:00:50,0,5257,5257,15:00:50,5257,0
09.09.21,111.727,5154,15:32:39,0,5154,5154,15:32:39,5154,0
10.09.21,106.963,5150,15:40:10,0,5150,5150,15:40:10,5150,0
11.09.21,90.54,4526,0:01:08,0,4526,4526,0:01:08,4526,0
12.09.21,85.246,4055,19:04:58,0,4055,4055,19:04:58,4055,0
13.09.21,95.189,4888,12:14:59,0,4888,4888,12:14:59,4888,0
14.09.21,96.937,4798,15:39:02,0,4798,4798,15:39:02,4798,0
15.09.21,100.408,4909,16:14:31,0,4909,4909,16:14:31,4909,0
16.09.21,98.48,4580,10:27:57,0,4580,4580,10:27:57,4580,0
17.09.21,92.613,4494,11:50:59,0,4494,4494,11:50:59,4494,0
18.09.21,91.125,4307,18:58:30,0,4307,4307,18:58:30,4307,0
19.09.21,93.182,4604,22:58:05,0,4604,4604,22:58:05,4604,0
20.09.21,108.045,5110,23:03:50,0,5110,5110,23:03:50,5110,0
21.09.21,108.272,5305,14:46:52,0,5305,5305,14:46:52,5305,0
22.09.21,101.468,4692,15:13:31,0,4692,4692,15:13:31,4692,0
23.09.21,102.475,4852,15:05:15,0,4852,4852,15:05:15,4852,0
24.09.21,97.613,4835,12:04:00,0,4835,4835,12:04:00,4835,0
25.09.21,95.775,4476,19:10:20,0,4476,4476,19:10:20,4476,0
26.09.21,91.911,4305,22:51:51,0,4305,4305,22:51:51,4305,0
27.09.21,102.878,4948,15:19:40,0,4948,4948,15:19:40,4948,0
28.09.21,107.644,5123,15:49:50,0,5123,5123,15:49:50,5123,0
29.09.21,109.39,5193,15:36:06,0,5193,5193,15:36:06,5193,0
30.09.21,113.993,5253,15:31:38,0,5253,5253,15:31:38,5253,0
01.10.21,111.994,5223,15:45:32,0,5223,5223,15:45:32,5223,0
02.10.21,98.883,4991,0:00,0,4991,4991,0:00,4991,0
03.10.21,102.484,5076,22:57:51,0,5076,5076,22:57:51,5076,0
04.10.21,111.705,5388,22:57:10,0,5388,5388,22:57:10,5388,0
05.10.21,112.132,5391,15:17:01,0,5391,5391,15:17:01,5391,0
06.10.21,112.864,5265,15:37:49,0,5265,5265,15:37:49,5265,0
07.10.21,105.199,5013,15:59:31,0,5013,5013,15:59:31,5013,0
08.10.21,104.086,4920,15:17:32,0,4920,4920,15:17:32,4920,0
09.10.21,97.737,4586,0:00:29,0,4586,4586,0:00:29,4586,0
10.10.21,94.194,4562,22:52:38,0,4562,4562,22:52:38,4562,0
11.10.21,101.427,4745,15:37:38,0,4745,4745,15:37:38,4745,0
12.10.21,100.704,4769,15:45:09,0,4769,4769,15:45:09,4769,0
13.10.21,96.161,4484,18:44:50,0,4484,4484,18:44:50,4484,0
14.10.21,90.188,4234,18:18:42,0,4234,4234,18:18:42,4234,0
15.10.21,76.801,3557,12:45:44,0,3557,3557,12:45:44,3557,0
16.10.21,84.622,4157,18:34:59,0,4157,4157,18:34:59,4157,0
17.10.21,81.216,3841,12:14:48,0,3841,3841,12:14:48,3841,0
18.10.21,76.167,3779,11:16:04,0,3779,3779,11:16:04,3779,0
19.10.21,74.371,3710,18:22:38,0,3710,3710,18:22:38,3710,0
20.10.21,76.204,3820,11:55:59,0,3820,3820,11:55:59,3820,0
21.10.21,73.722,3772,18:29:21,0,3772,3772,18:29:21,3772,0
22.10.21,74.7,3898,12:38:58,0,3898,3898,12:38:58,3898,0
23.10.21,73.154,3640,18:15:28,0,3640,3640,18:15:28,3640,0
24.10.21,69.441,3492,11:47:50,0,3492,3492,11:47:50,3492,0
25.10.21,66.839,3570,11:29:09,0,3570,3570,11:29:09,3570,0
26.10.21,67.608,3547,18:10:13,0,3547,3547,18:10:13,3547,0
27.10.21,67.028,3537,10:29:40,0,3537,3537,10:29:40,3537,0
28.10.21,65.639,3438,11:02:18,0,3438,3438,11:02:18,3438,0
29.10.21,67.11,3583,10:16:21,0,3583,3583,10:16:21,3583,0
30.10.21,66.956,3276,18:18:36,0,3276,3276,18:18:36,3276,0
31.10.21,60.11,3220,10:56:12,0,3220,3220,10:56:12,3220,0
01.11.21,65.986,3470,10:30:41,0,3470,3470,10:30:41,3470,0
02.11.21,63.56,3462,11:01:52,0,3462,3462,11:01:52,3462,0
03.11.21,63.549,3421,10:53:59,0,3421,3421,10:53:59,3421,0
04.11.21,55.626,2759,18:03:48,0,2759,2759,18:03:48,2759,0
05.11.21,52.691,2744,11:07:20,0,2744,2744,11:07:20,2744,0
06.11.21,52.954,2932,10:19:48,0,2932,2932,10:19:48,2932,0
07.11.21,54.016,2945,10:53:33,0,2945,2945,10:53:33,2945,0
08.11.21,61.488,3313,10:02:11,0,3313,3313,10:02:11,3313,0
09.11.21,61.87,3339,10:14:45,0,3339,3339,10:14:45,3339,0
10.11.21,61.345,3460,10:40:19,0,3460,3460,10:40:19,3460,0
11.11.21,61.923,3339,10:22:29,0,3339,3339,10:22:29,3339,0
12.11.21,64.737,3566,10:49:32,0,3566,3566,10:49:32,3566,0
13.11.21,60.774,3287,10:30:35,0,3287,3287,10:30:35,3287,0
14.11.21,57.48,3289,10:47:50,0,3289,3289,10:47:50,3289,0
15.11.21,61.809,3471,10:29:29,0,3471,3471,10:29:29,3471,0
16.11.21,60.231,3539,11:24:45,0,3539,3539,11:24:45,3539,0
17.11.21,62.362,3575,10:30:10,0,3575,3575,10:30:10,3575,0
18.11.21,60.043,3511,10:30,0,3511,3511,10:30,3511,0
19.11.21,61.084,3625,11:03:53,0,3625,3625,11:03:53,3625,0
20.11.21,62.256,3417,10:00:43,0,3417,3417,10:00:43,3417,0
21.11.21,58.044,3494,10:48:42,0,3494,3494,10:48:42,3494,0
22.11.21,60.711,3538,10:15:17,0,3538,3538,10:15:17,3538,0
23.11.21,62.324,3552,10:33:26,0,3552,3552,10:33:26,3552,0
24.11.21,60.912,3617,10:42:39,0,3617,3617,10:42:39,3617,0
25.11.21,63.031,3571,10:30:53,0,3571,3571,10:30:53,3571,0
26.11.21,64.496,3831,10:50:29,0,3831,3831,10:50:29,3831,0
27.11.21,60.863,3460,10:30:17,0,3460,3460,10:30:17,3460,0
28.11.21,58.205,3494,10:59:05,2.83,3497,3497,10:59:05,3494,2.83
.2911.21,61.537,3598,10:30:53,0,3598,3598,10:30:53,3598,0
30.11.21,63.13,3584,10:00:46,0,3584,3584,10:00:46,3584,0
01.12.21,63.855,3732,10:02:18,0,3732,3732,10:02:18,3732,0
02.12.21,64.072,3690,10:48:28,0,3690,3690,10:48:28,3690,0
03.12.21,66.432,3983,10:37:18,0,3983,3983,10:37:18,3983,0
04.12.21,59.927,3608,10:28:03,0,3608,3608,10:28:03,3608,0
05.12.21,60.369,3562,11:11:53,0,3562,3562,11:11:53,3562,0
06.12.21,63.073,3656,10:29:18,0,3656,3656,10:29:18,3656,0
07.12.21,64.494,3641,10:00:47,0,3641,3641,10:00:47,3641,0
08.12.21,62.851,3784,9:55:44,0,3784,3784,9:55:44,3784,0
09.12.21,65.497,3695,10:00:44,0,3695,3695,10:00:44,3695,0
10.12.21,66.179,3953,10:20:55,0,3953,3953,10:20:55,3953,0
11.12.21,62.029,3694,10:14:59,0,3694,3694,10:14:59,3694,0
12.12.21,60.756,3673,10:55:42,0,3673,3673,10:55:42,3673,0
13.12.21,64.183,3825,10:00:09,0,3825,3825,10:00:09,3825,0
14.12.21,66.501,3883,9:58:48,0,3883,3883,9:58:48,3883,0
15.12.21,67.405,4011,9:54:31,0,4011,4011,9:54:31,4011,0
16.12.21,67.798,4000,10:25:33,3,4003,4003,10:25:33,4000,3
17.12.21,70.243,4329,10:24:41,0,4329,4329,10:24:41,4329,0
18.12.21,68.114,4078,10:25:53,0,4078,4078,10:25:53,4078,0
19.12.21,66.421,4137,11:02:53,0,4137,4137,11:02:53,4137,0
20.12.21,71.989,4418,10:03:11,0,4418,4418,10:03:11,4418,0
21.12.21,73.037,4385,10:29:29,0,4385,4385,10:29:29,4385,0
22.12.21,73.444,4468,10:01:19,0,4468,4468,10:01:19,4468,0
23.12.21,73.019,4363,10:01,0,4363,4363,10:01,4363,0
24.12.21,74.115,4568,10:26,0,4568,4568,10:26,4568,0
25.12.21,68.112,4196,9:30,0,4196,4196,9:30,4196,0
26.12.21,64.937,4103,10:29:26,0,4103,4103,10:29:26,4103,0
27.12.21,69.907,4300,9:59:16,0,4300,4300,9:59:16,4300,0
28.12.21,72.764,4233,10:28:08,0,4233,4233,10:28:08,4233,0
.2912.21,71.702,4385,10:20:37,0,4385,4385,10:20:37,4385,0
30.12.21,71.997,4292,10:28:07,0,4292,4292,10:28:07,4292,0
31.12.21,74.835,4685,10:32:10,0,,,10:32:10,4685,0
01.01.22,70.636,4487,10:30:32,0,4487,4487,10:30:32,4487,0
02.01.22,66.586,4089,10:02:28,0,4089,4089,10:02:28,4089,0
03.01.22,72.075,4521,10:14:49,0,4521,4521,10:14:49,4521,0
04.01.22,72.391,4490,9:59:33,0,4490,4490,9:59:33,4490,0
05.01.22,72.562,4318,10:00,0,4318,4318,10:00,4318,0
06.01.22,73.191,4319,10:26,0,4319,4319,10:26,4319,0
07.01.22,74.004,4659,10:29:52,0,4659,4659,10:29:52,4659,0
08.01.22,59.209,3358,10:30:50,14.4,3372,3372,10:30:50,3358,14.4
09.01.22,63.369,3808,11:09:12,0,3808,3808,11:09:12,3808,0
10.01.22,72.127,4577,10:00,0,4577,4577,10:00,4577,0
11.01.22,74.713,4543,10:40,0,4543,4543,10:40,4543,0
12.01.22,73.843,4666,10:47:56,0,4666,4666,10:47:56,4666,0
13.01.22,75.826,4616,10:51,0,4616,4616,10:51,4616,0
14.01.22,80.112,5104,10:29:36,0,5104,5104,10:29:36,5104,0
15.01.22,68.912,4051,11:00,0,4051,4051,11:00,4051,0
16.01.22,67.084,4163,10:40:18,0,4163,4163,10:40:18,4163,0
17.01.22,78.074,4925,10:25,0,4925,4925,10:25,4925,0
18.01.22,80.249,4946,10:30:32,0,4946,4946,10:30:32,4946,0
19.01.22,80.309,5077,10:26:28,0,5077,5077,10:26:28,5077,0
20.01.22,78.391,4836,10:36:06,19,4855,4855,10:36:06,4836,19
21.01.22,78.894,5081,10:26,0,5081,5081,10:26,5081,0
22.01.22,68.643,3976,10:29:44,0,3976,3976,10:29:44,3976,0
23.01.22,66.951,4191,11:02:41,0,4191,4191,11:02:41,4191,0
24.01.22,78.634,4892,10:25:54,0,4892,4892,10:25:54,4892,0
25.01.22,81.581,4973,10:52,0,4973,4973,10:52,4973,0
26.01.22,69.34,4225,10:30:43,0,4225,4225,10:30:43,4225,0
27.01.22,76.206,4773,10:45:25,0,4773,4773,10:45:25,4773,0
28.01.22,79.121,5037,10:02:09,0,5037,5037,10:02:09,5037,0
29.01.22,70.733,4423,10:30,0,4423,4423,10:30,4423,0
30.01.22,69.177,4391,11:02:29,0,4391,4391,11:02:29,4391,0
31.01.22,73.395,4586,9:49:36,0,,,9:49:36,4586,0
01.02.22,73.985,4611,9:54:29,0,4611,4611,9:54:29,4611,0
02.02.22,73.679,4718,10:00:43,0,4718,4718,10:00:43,4718,0
03.02.22,75.874,4582,10:30:00,0,4582,4582,10:30:00,4582,0
04.02.22,78.268,4985,10:11:29,39,5024,4985,10:11:29,4985,39
05.02.22,73.555,4717,10:29:34,0,4717,4717,10:29:34,4717,0
06.02.22,68.338,4326,10:26:45,0,4326,4326,10:26:45,4326,0
07.02.22,71.235,4420,10:29:39,0,4420,4420,10:29:39,4420,0
08.02.22,69.199,4168,10:00:44,0,4168,4168,10:00:44,4168,0
09.02.22,68.813,4268,10:20:38,0,4268,4268,10:20:38,4268,0
10.02.22,68.908,4200,10:10:00,0,4200,4200,10:10:00,4200,0
11.02.22,70.808,4345,10:00:20,0,4345,4345,10:00:20,4345,0
12.02.22,63.299,4038,10:41:05,0,4038,4038,10:41:05,4038,0
13.02.22,62.508,3973,10:39:03,0,3973,3973,10:39:03,3973,0
14.02.22,65.584,3981,10:01:09,0,3981,3981,10:01:09,3981,0
15.02.22,65.236,3931,9:59:54,0,3931,3931,9:59:54,3931,0
16.02.22,66.315,4045,10:28:50,0,4045,4045,10:28:50,4045,0
17.02.22,64.556,3858,9:49:45,0,3858,3858,9:49:45,3858,0
18.02.22,67.181,4028,10:25:00,0,4028,4028,10:25:00,4028,0
19.02.22,59.967,3631,9:56:57,0,3631,3631,9:56:57,3631,0
20.02.22,59.566,3856,10:49:20,0,3856,3856,10:49:20,3856,0
21.02.22,65.043,3775,9:59:03,0,3775,3775,9:59:03,3775,0
22.02.22,64.595,3782,9:44:09,0,3782,3782,9:44:09,3782,0
23.02.22,64.275,3883,10:11:27,0,3883,3883,10:11:27,3883,0
24.02.22,63.674,3823,10:17:14,0,3823,3823,10:17:14,3823,0
25.02.22,64.5,3910,10:11:38,0,3910,3910,10:11:38,3910,0
26.02.22,61.839,3676,10:04:08,0,3676,3676,10:04:08,3676,0
27.02.22,59.281,3615,10:24:05,0,3615,3615,10:24:05,3615,0
28.02.22,62.861,3705,9:58:00,0,3705,3705,9:58:00,3705,0
01.03.22,63.374,4040,9:43:00,0,4040,4040,9:43:00,0,4040
02.03.22,62.887,3744,9:44:27,0,3744,3744,9:44:27,0,3744
03.03.22,62.6,3640,9:32:54,0,3640,3640,9:32:54,0,3640
04.03.22,66.198,3837,10:09:35,0,3837,3837,10:09:35,0,3837
05.03.22,60.469,3489,10:00:57,0,3489,3489,10:00:57,0,3489
06.03.22,60.269,3565,10:25:24,0,3565,3565,10:25:24,0,3565
07.03.22,61.762,3628,10:00:00,0,3628,3628,10:00:00,0,3628
08.03.22,64.862,3602,10:20:00,0,3602,3602,10:20:00,0,3602
09.03.22,66.116,3619,10:25:53,0,3619,3619,10:25:53,0,3619
10.03.22,63.924,3597,10:00:00,0,3597,3597,10:00:00,0,3597
11.03.22,67.675,3742,10:25:21,0,3742,3742,10:25:21,0,3742
12.03.22,65.338,3547,10:23:01,0,3547,3547,10:23:01,0,3547
13.03.22,62.975,3389,10:55:43,0,3389,3389,10:55:43,0,3389
14.03.22,69.374,3598,10:01:00,0,3598,3598,10:01:00,0,3598
15.03.22,73.379,3735,11:00:00,0,3735,3735,11:00:00,0,3735
16.03.22,76.079,3881,11:00:19,0,3881,3881,11:00:19,0,3881
17.03.22,74.599,3838,11:13:44,0,3838,3838,11:13:44,0,3838
18.03.22,61.561,2902,19:47:24,0,2902,2902,19:47:24,0,2902
19.03.22,69.643,3451,19:14:22,0,3451,3451,19:14:22,0,3451
20.03.22,72.883,3568,19:30:45,0,3568,3568,19:30:45,0,3568
21.03.22,84.625,4095,12:21:00,0,4095,4095,12:21:00,0,4095
22.03.22,83.916,3979,11:25:00,0,3979,3979,11:25:00,0,3979
23.03.22,86.217,4014,11:30:00,0,4014,4014,11:30:00,0,4014
24.03.22,83.913,4021,15:38:34,0,4021,4021,15:38:34,0,4021
25.03.22,86.398,4208,11:49:00,0,4208,4208,11:49:00,0,4208
26.03.22,79.581,3855,19:02:02,0,3855,3855,19:02:02,0,3855
27.03.22,77.873,3644,19:25:05,0,3644,3644,19:25:05,0,3644
28.03.22,85.152,4104,11:46:46,0,4104,4104,11:46:46,0,4104
29.03.22,89.245,4308,16:34:09,0,4308,4308,16:34:09,0,4308
30.03.22,94.333,4475,15:26:51,0,4475,4475,15:26:51,0,4475
31.03.22,95.376,4648,15:15:38,0,4648,4648,15:15:38,0,4648
01.04.22,95.26,4469,15:41:51,0,4469,4469,15:41:51,4469,0
02.04.22,90.732,4170,15:45:06,0,4170,4170,15:45:06,4170,0
03.04.22,87.247,4219,22:59:14,0,4219,4219,22:59:14,4219,0
04.04.22,95.118,4537,15:42:36,0,4537,4537,15:42:36,4537,0
05.04.22,95.844,4638,15:47:34,0,4638,4638,15:47:34,4638,0
06.04.22,98.048,4762,15:25:13,0,4762,4762,15:25:13,4762,0
07.04.22,99.697,4902,15:21:34,0,4902,4902,15:21:34,4902,0
08.04.22,102.353,5036,15:51:34,0,5036,5036,15:51:34,5036,0
09.04.22,100.9,4832,23:05:47,0,4832,4832,23:05:47,4832,0
10.04.22,99.76,4969,23:20:58,0,4969,4969,23:20:58,4969,0
11.04.22,108.987,5460,15:29:58,0,5460,5460,15:29:58,5460,0
12.04.22,110.568,5231,15:15:31,0,5231,5231,15:15:31,5231,0
13.04.22,111.546,5291,15:15:29,0,5291,5291,15:15:29,5291,0
14.04.22,105.669,5058,0:01:00,0,5058,5058,0:01:00,5058,0
15.04.22,106.062,5069,23:28:35,0,5069,5069,23:28:35,5069,0
16.04.22,102.673,5012,23:42:09,0,5012,5012,23:42:09,5012,0
17.04.22,102.341,5227,23:36:52,0,5227,5227,23:36:52,5227,0
18.04.22,113.557,5640,23:29:14,0,5640,5640,23:29:14,5640,0
19.04.22,114.942,5735,15:30:57,0,5735,5735,15:30:57,5735,0
20.04.22,118.269,5761,15:36:47,0,5761,5761,15:36:47,5761,0
21.04.22,113.189,5657,0:00:15,0,5657,5657,0:00:15,5657,0
22.04.22,108.801,5354,16:06:04,0,5354,5354,16:06:04,5354,0
23.04.22,105.561,5091,0:02:15,0,5091,5091,0:02:15,5091,0
24.04.22,101.329,5229,23:44:31,0,5229,5229,23:44:31,5229,0
25.04.22,111.892,5589,16:05:47,0,5589,5589,16:05:47,5589,0
26.04.22,114.007,5681,15:22:12,0,5681,5681,15:22:12,5681,0
27.04.22,117.515,5786,23:27:25,0,5786,5786,23:27:25,5786,0
28.04.22,121.267,6050,23:17:24,12,6062,6062,23:17:24,6050,12
29.04.22,126.145,6197,15:31:57,0,6197,6197,15:31:57,6197,0
30.04.22,122.091,6036,23:24:19,0,6036,6036,23:24:19,6036,0
01.05.22,118.479,6048,23:20:08,0,6048,6048,23:20:08,6048,0
02.05.22,126.585,6247,23:30:47,0,6247,6247,23:30:47,6247,0
03.05.22,123.345,6237,23:13:03,0,6237,6237,23:13:03,6237,0
04.05.22,121.425,6129,0:00:05,0,6129,6129,0:00:05,6129,0
05.05.22,106.489,5409,23:24:36,0,5409,5409,23:24:36,5409,0
06.05.22,112.59,5549,15:33:54,0,5549,5549,15:33:54,5549,0
07.05.22,110.764,5519,23:19:34,0,5519,5519,23:19:34,5519,0
08.05.22,110.922,5833,23:24:46,0,5833,5833,23:24:46,5833,0
09.05.22,123.961,6151,23:09:55,0,6151,6151,23:09:55,6151,0
10.05.22,126.395,6270,15:10:50,0,6270,6270,15:10:50,6270,0
11.05.22,130.048,6596,23:18:32,0,6596,6596,23:18:32,6596,0
12.05.22,136.553,6800,23:07:33,0,6800,6800,23:07:33,6800,0
13.05.22,134.911,6829,23:25:58,0,6829,6829,23:25:58,6829,0
14.05.22,132.213,6720,0:00:06,0,6720,6720,0:00:06,6720,0
15.05.22,126.403,6732,23:36:07,0,6732,6732,23:36:07,6732,0
16.05.22,131.608,6688,0:01:01,0,6688,6688,0:01:01,6688,0
17.05.22,133.723,6786,23:33:05,0,6786,6786,23:33:05,6786,0
18.05.22,136.739,6665,15:16:21,0,6665,6665,15:16:21,6665,0
19.05.22,137.712,7070,23:24:51,0,7070,7070,23:24:51,7070,0
20.05.22,142.022,6835,15:30:00,0,6835,6835,15:30:00,6835,0
21.05.22,128.896,6433,0:07:33,0,6433,6433,0:07:33,6433,0
22.05.22,116.444,6095,23:39:53,0,6095,6095,23:39:53,6095,0
23.05.22,99.398,6052,0:00:01,0,6052,6052,0:00:01,6052,0
24.05.22,91.783,4520,16:39:47,0,4520,4520,16:39:47,4520,0
25.05.22,100.438,4822,15:22:27,10,4832,4832,15:22:27,4822,10
26.05.22,104.147,5214,23:22:49,0,5214,5214,23:22:49,5214,0
27.05.22,114.273,5811,15:31:42,0,5811,5811,15:31:42,5811,0
28.05.22,129.13,6239,23:21:46,0,6239,6239,23:21:46,6239,0
29.05.22,120.368,5972,0:00:50,0,5972,5972,0:00:50,5972,0
30.05.22,123.096,6461,15:18:37,0,6461,6461,15:18:37,6461,0
31.05.22,122.222,6173,23:10:05,0,6173,6173,23:10:05,6173,0
01.07.22,114.305,5352,14:45:27,0,5352,5352,14:45:27,5352,0
02.07.22,112.876,5684,23:11:41,0,5684,5684,23:11:41,5684,0
03.07.22,114.463,5941,23:00:43,0,5941,5941,23:00:43,5941,0
04.07.22,130.689,6629,23:23:07,0,6629,6629,23:23:07,6629,0
05.07.22,140.26,7025,15:08:26,0,7025,7025,15:08:26,7025,0
06.07.22,146.158,7369,15:06:15,0,7369,7369,15:06:15,7369,0
07.07.22,149.801,7360,15:14:45,0,7360,7360,15:14:45,7360,0
08.07.22,152.248,7517,15:33:37,0,7517,7517,15:33:37,7517,0
09.07.22,137.591,7203,0:00:39,0,7203,7203,0:00:39,7203,0
10.07.22,123.154,6171,23:15:38,0,6171,6171,23:15:38,6171,0
11.07.22,130.948,6541,23:15:28,0,6541,6541,23:15:28,6541,0
12.07.22,127.643,6330,0:00:38,0,6330,6330,0:00:38,6330,0
13.07.22,126.374,6358,15:12:29,0,6358,6358,15:12:29,6358,0
14.07.22,133.382,6341,13:57:26,0,6341,6341,13:57:26,6341,0
15.07.22,136.585,6836,23:15:49,0,6836,6836,23:15:49,6836,0
16.07.22,125.19,6685,0:02:11,0,6685,6685,0:02:11,6685,0
17.07.22,114.073,6095,22:46:30,0,6095,6095,22:46:30,6095,0
18.07.22,135.146,6930,23:15:45,0,6930,6930,23:15:45,6930,0
19.07.22,141.73,6833,23:00:30,0,6833,6833,23:00:30,6833,0
20.07.22,132.933,6573,0:00:01,0,6573,6573,0:00:01,6573,0
21.07.22,117.764,5821,23:00:00,0,5821,5821,23:00:00,5821,0
22.07.22,121.734,5723,14:59:30,0,5723,5723,14:59:30,5723,0
23.07.22,116.215,5542,23:19:06,0,5542,5542,23:19:06,5542,0
24.07.22,113.998,5690,23:03:49,0,5690,5690,23:03:49,5690,0
25.07.22,120.981,5857,15:44:00,0,5857,5857,15:44:00,5857,0
26.07.22,119.994,5912,23:02:16,0,5912,5912,23:02:16,5912,0
